date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:56	173602/173602	---M--	200	added ('OK')	application/pdf	etag:%226014676c-2a622%22	http://vzestup.webpark.cz/karen/LOL/lolkarty1tisk.pdf	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/LOL/lolkarty1tisk.pdf	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:56	14535/14535	---M--	200	added ('OK')	text/html	etag:%226014676c-38c7%22	http://vzestup.webpark.cz/karen/ca_hints.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/ca_hints.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:58	5687/5687	---M--	200	added ('OK')	text/html	etag:%226014676c-1637%22	http://vzestup.webpark.cz/karen/meconcl2000.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/meconcl2000.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:58	5461/5461	---M--	200	added ('OK')	text/html	etag:%226014676c-1555%22	http://vzestup.webpark.cz/karen/ascend.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/ascend.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:25:00	8614/8614	---M--	200	added ('OK')	text/html	etag:%226014676c-21a6%22	http://vzestup.webpark.cz/karen/muscle.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/muscle.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:25:01	191950/191950	---M--	200	added ('OK')	application/pdf	etag:%226014676c-2edce%22	http://vzestup.webpark.cz/karen/LOL/lolkarty2.pdf	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/LOL/lolkarty2.pdf	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:25:02	713/713	---M--	200	added ('OK')	image/gif	etag:%222c9-5b81da4807e40%22	http://vzestup.webpark.cz/acrobat.gif	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/acrobat.gif	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:25:02	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5ba0f5717b300%22	http://vzestup.webpark.cz/katka/Kkniha_soubory/filelist.xml	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/katka/Kkniha_soubory/filelist.xml	(from http://vzestup.webpark.cz/katka/kkniha.htm)
10:25:03	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5ba0f5717b300%22	http://vzestup.webpark.cz/katka/Kkniha_soubory/header.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/katka/Kkniha_soubory/header.htm	(from http://vzestup.webpark.cz/katka/kkniha.htm)
10:25:06	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5ba0f5717b300%22	http://vzestup.webpark.cz/moudra/index_m_soubory/filelist.xml	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/moudra/index_m_soubory/filelist.xml	(from http://vzestup.webpark.cz/moudra/index_m.html)
10:25:08	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5ba0f5717b300%22	http://vzestup.webpark.cz/moudra/index_m_soubory/editdata.mso	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/moudra/index_m_soubory/editdata.mso	(from http://vzestup.webpark.cz/moudra/index_m.html)
10:25:10	3208/3208	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c973-c88%22	http://vzestup.webpark.cz/moudra/the_ultimate_being.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/moudra/the_ultimate_being.jpg	(from http://vzestup.webpark.cz/moudra/index_m.html)
10:25:12	9317/9317	---M--	200	added ('OK')	text/html	etag:%226014676c-2465%22	http://vzestup.webpark.cz/moudra/dalajlama.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/moudra/dalajlama.html	(from http://vzestup.webpark.cz/moudra/index_m.html)
10:25:14	125190/125190	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c972-1e906%22	http://vzestup.webpark.cz/katka/kkniha_2.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/katka/kkniha_2.jpg	(from http://vzestup.webpark.cz/katka/kkniha.htm)
10:25:14	76031/76031	---M--	200	added ('OK')	text/html	etag:%226014676c-128ff%22	http://vzestup.webpark.cz/moudra/umeni_med.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/moudra/umeni_med.html	(from http://vzestup.webpark.cz/moudra/index_m.html)
10:25:16	5959/5959	---M--	200	added ('OK')	text/html	etag:%226014676c-1747%22	http://vzestup.webpark.cz/moudra/otcenas.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/moudra/otcenas.html	(from http://vzestup.webpark.cz/moudra/index_m.html)
